任务,说明,完成情况
统一DATA_ROOT,在Rust配置层定义唯一DATA_ROOT并从中派生uploads/downloads/jobs/db等目录,已完成
/app与/data隔离,彻底禁止业务数据写入/app并将所有持久化文件统一落到/data,已完成
移除请求层output_root决策权,前端和请求体不再决定输出目录而由Rust统一分配,已完成
Rust成为目录唯一Owner,Rust负责创建job工作目录和全部子目录并将绝对路径传给Python,已完成
Python改为纯执行层,Python脚本不再推导路径不再自行建目录只使用Rust传入路径,已完成
定义标准Job目录Schema,固定source/ocr/translated/rendered/artifacts/logs等目录结构,已完成
数据库统一存相对路径,数据库和API内部索引只存相对于DATA_ROOT的路径并在运行时解析,已完成
旧绝对路径记录强切重跑,历史jobs若仍使用绝对路径artifact存储则直接拒绝详情与下载并要求重跑,已完成
明确配置优先级,统一代码默认值配置文件环境变量CLI请求白名单的覆盖顺序,已文档化
拆分jobs数据库模型,将当前单表拆为jobs/artifacts/events三张表,已完成
引入结构化事件日志,关键阶段输出JSON事件并同步写入events表和events.jsonl,已完成
统一前端源码,新增frontend作为唯一主前端并删除front与front_docker历史目录,已完成
清理运行时路径解析,去掉基于CARGO_MANIFEST_DIR和project_root猜路径的逻辑,已完成
Docker卷与镜像整理,明确/app只读代码层和/data持久化卷并更新Docker构建与部署,已完成
问题梳理与专家方案确认,已完成当前架构问题盘点并获得重构方向建议,已完成
顶层目录重组,已将仓库顶层收敛为frontend/backend/docker/data四大主结构并迁移旧目录,已完成
