id,area,status,priority,task,goal,files,verify,notes
R01,typst-output,done,P0,统一 Typst fit helper,"消除 emitter.py 和 source_builder.py 中重复的 pdftr_fit_markdown/helper 字符串","backend/scripts/services/rendering/output/typst/emitter.py;backend/scripts/services/rendering/output/typst/source_builder.py;backend/scripts/services/rendering/output/typst/fit_helpers.py","python3 -m pytest backend/scripts/devtools/tests/rendering/test_typst_render_refactor.py -q","已抽 page_spec_fit_helpers/render_block_fit_helpers，不改输出行为。"
R02,typst-output,done,P0,统一多行 markdown block 输出,"让 RenderBlock 和 RenderLayoutBlock 的多行 markdown fit 输出共用同一段 builder，避免 fit_height 改一边漏一边","backend/scripts/services/rendering/output/typst/block_fit.py;backend/scripts/services/rendering/output/typst/emitter.py;backend/scripts/services/rendering/output/typst/source_builder.py","python3 -m pytest backend/scripts/devtools/tests/rendering/test_typst_render_refactor.py -q","已先统一 fit 尺寸计算；保留单行标题专用逻辑。"
R03,source-output,done,P1,移除 source 对 legacy 压缩 facade 的依赖,"source/render_source.py 直接依赖 source/compression，不再从 legacy.pdf_compress 导入","backend/scripts/services/rendering/source/render_source.py;backend/scripts/services/rendering/legacy/pdf_compress.py;backend/scripts/services/rendering/source/compression/pdf_copy.py","python3 -m py_compile backend/scripts/services/rendering/source/render_source.py; python3 backend/scripts/devtools/check_pipeline_architecture.py","已下沉 pdf copy 压缩 helper 到 source/compression，legacy 继续 re-export 给旧入口。"
R04,source-output,done,P1,收口 source/background/stage 的 PDF 写出依赖,"让 background stage 返回 doc/path 决策或通过 workflow/output 写出，减少 source -> output 反向依赖","backend/scripts/services/rendering/source/background/stage.py;backend/scripts/services/rendering/workflow/**;backend/scripts/services/rendering/output/pdf_writer.py","python3 -m pytest backend/scripts/devtools/tests/rendering/test_typst_render_refactor.py -q; python3 backend/scripts/devtools/check_pipeline_architecture.py","已通过 R08 把 save_optimized_pdf/strip_page_links 下沉到 document.pdf_ops；source 不再依赖 output.pdf_writer。"
R05,layout,done,P1,统一 page_specs 与 payload 的 block 模型,"减少 RenderPageSpec/RenderBlock 双轨导致的重复 fit 逻辑","backend/scripts/services/rendering/layout/model/models.py;backend/scripts/services/rendering/layout/page_specs.py;backend/scripts/services/rendering/layout/payload/**","python3 -m pytest backend/scripts/devtools/tests/rendering -q","已新增 layout/model/block_view.py，把 RenderLayoutBlock 转成通用 RenderBlock；source redaction item 共用同一函数，Typst 字段访问由 R10 继续收口。"
R06,typography,done,P2,拆 typography/measurement.py,"把 bbox/line/compactness/candidate selection 从 measurement.py 拆成小模块","backend/scripts/services/rendering/layout/typography/measurement.py;backend/scripts/services/rendering/layout/typography/*.py","python3 -m pytest backend/scripts/devtools/tests/rendering backend/scripts/devtools/tests/text_layout -q","已拆 constants/scalars/content/line_metrics/line_count/compactness/baseline，measurement.py 保留兼容导出。"
R07,source-background,done,P2,拆 source/background/page_overlay.py 桥接逻辑,"把 redaction plan、background image route、overlay diagnostics 分开，降低 source/layout/output 三方耦合","backend/scripts/services/rendering/source/background/page_overlay.py;backend/scripts/services/rendering/source/background/**;backend/scripts/services/rendering/output/typst/overlay_diagnostics.py","python3 -m pytest backend/scripts/devtools/tests/rendering -q","已拆 redaction_plan/source_overlay/image_route；legacy background_image_route 只保留 re-export；架构检查通过。"
R08,document-output,done,P1,下沉通用 PDF 保存操作,"把 save_optimized_pdf/strip_page_links 从 output.pdf_writer 下沉到 document.pdf_ops，source 不再依赖 output 写出层","backend/scripts/services/rendering/document/pdf_ops.py;backend/scripts/services/rendering/output/pdf_writer.py;backend/scripts/services/rendering/source/cleanup/document_ops.py;backend/scripts/services/rendering/workflow/**","python3 -m pytest backend/scripts/devtools/tests/rendering -q; python3 backend/scripts/devtools/check_pipeline_architecture.py","output/pdf_writer.py 保留兼容 re-export；source cleanup 改依赖 document.pdf_ops。"
R09,source-background,done,P2,迁移 redaction_plan 的 layout payload 依赖,"让 workflow/layout 预先生成 RenderBlock，source/background/redaction_plan 只消费 RenderBlock，移除 source -> layout.payload 例外","backend/scripts/services/rendering/source/background/redaction_plan.py;backend/scripts/services/rendering/workflow/**;backend/scripts/services/rendering/layout/model/block_view.py","python3 -m pytest backend/scripts/devtools/tests/rendering -q","已把 build_render_blocks 调用移到 output/typst/source_page_overlay.py；source/background/redaction_plan.py 只消费 RenderBlock 列表。"
R10,typst-output,done,P2,让 Typst emitter 消费统一 RenderBlock 视图,"逐步减少 RenderLayoutBlock 和 RenderBlock 双 emitter 逻辑","backend/scripts/services/rendering/output/typst/emitter.py;backend/scripts/services/rendering/output/typst/source_builder.py;backend/scripts/services/rendering/layout/model/block_view.py","python3 -m pytest backend/scripts/devtools/tests/rendering/test_typst_render_refactor.py -q","已新增 output/typst/block_fields.py，统一两个 emitter 的 rect/font/color 字段计算；保留具体 Typst 输出分支不变。"
